r_id,x,y,z
0,0.0,5.204239101280555,0.896271546635287
0,0.5233671590354422,5.200918087420474,0.8967059042123752
0,1.0468607516053225,5.201712109360708,0.8966172634979901
0,1.570279189284643,5.202310565306593,0.8965658403933526
0,2.0936631903515286,5.202423464503881,0.8965679035232696
0,2.6170424283815863,5.202459111419416,0.896566133387292
0,3.1404250533370965,5.202423689952892,0.8965563944290502
0,3.663845537923432,5.201906271825628,0.8965901901194466
0,4.187358103080897,5.201133447581036,0.896655570066168
0,4.710771516153986,5.204312385764807,0.8962242308223648
0,0.0,5.232403063618178,1.4196778827526035
0,0.523386960444874,5.22795217980004,1.419483900763784
0,1.0468622766227644,5.229075683005902,1.4195620819527257
0,1.570276618167246,5.229644939823475,1.4196212898216438
0,2.0936693315568595,5.229743126349391,1.4196402207570713
0,2.6170598194538672,5.229777806616287,1.4196383343170431
0,3.140452783082304,5.2297454466038324,1.4196120664674272
0,3.66386522936053,5.229229032866787,1.4195353244550777
0,4.187330103074965,5.228135451559881,1.4194279949400677
0,4.710694896275089,5.2325984601880275,1.4196149767475286
0,0.0,5.159559407708129,1.9387651634477037
0,0.5234041859763024,5.155502249856864,1.9378988682570248
0,1.0468658700856315,5.156370766879225,1.9381797098266929
0,1.5702779254952697,5.156917219826323,1.9383290848200305
0,2.0936804234525757,5.157026292181907,1.9383594089437748
0,2.617083688195589,5.157044519386148,1.9383555922608555
0,3.1404874321551635,5.156968374792706,1.9383157116640026
0,3.663896904433049,5.156447563245813,1.9381520308736653
0,4.187340722309056,5.155604595667457,1.9378512334763836
0,4.710703144512893,5.159717689652677,1.938679775860606
0,0.0,4.982965957592616,2.4321870252449327
0,0.5233874152805783,4.980919512844272,2.4314789692455476
0,1.0468552004711753,4.981551975613993,2.431843551409793
0,1.5702832264479656,4.982038958851564,2.432059530123588
0,2.0936942256641364,4.982166326933385,2.4321078789161503
0,2.617105023548113,4.9821666291740465,2.4320977835321504
0,3.1405204192650493,4.982035958555231,2.4320282522642964
0,3.6639577069808853,4.981530761388648,2.43178610670908
0,4.187443086163205,4.980840939386939,2.4313742959161906
0,4.710865632646583,4.9827625530516935,2.4319631963078048
0,0.0,4.739497109833936,2.8961059776334825
